date,clock,open_eurusd,high_eurusd,low_eurusd,close_eurusd,tikvol_eurusd,open_audusd,high_audusd,low_audusd,close_audusd,tikvol_audusd,open_eurgbp,high_eurgbp,low_eurgbp,close_eurgbp,tikvol_eurgbp,open_gbpusd,high_gbpusd,low_gbpusd,close_gbpusd,tikvol_gbpusd,open_nzdusd,high_nzdusd,low_nzdusd,close_nzdusd,tikvol_nzdusd,open_usdchf,high_usdchf,low_usdchf,close_usdchf,tikvol_usdchf,open_usdjpy,high_usdjpy,low_usdjpy,close_usdjpy,tikvol_usdjpy
2023.10.19,23:00:00,1.05866,1.05866,1.05787,1.05794,3985,0.63319,0.63320,0.63249,0.63266,1396,0.87127,0.87167,0.87111,0.87127,793,1.21476,1.21478,1.21367,1.21397,2548,0.58540,0.58542,0.58454,0.58473,1820,1.05866,1.05866,1.05787,1.05794,3985,1.05866,1.05866,1.05787,1.05794,3985
2023.10.20,00:00:00,1.05813,1.05827,1.05787,1.05816,849,0.63265,0.63289,0.63237,0.63251,1063,0.87139,0.87142,0.87079,0.87121,737,1.21397,1.21431,1.21390,1.21409,728,0.58462,0.58498,0.58418,0.58422,1052,1.05813,1.05827,1.05787,1.05816,849,1.05813,1.05827,1.05787,1.05816,849
2023.10.20,01:00:00,1.05812,1.05828,1.05776,1.05795,1521,0.63251,0.63281,0.63192,0.63195,1212,0.87126,0.87164,0.87110,0.87151,802,1.21414,1.21441,1.21379,1.21390,2251,0.58429,0.58451,0.58374,0.58375,835,1.05812,1.05828,1.05776,1.05795,1521,1.05812,1.05828,1.05776,1.05795,1521
2023.10.20,02:00:00,1.05802,1.05858,1.05773,1.05854,2098,0.63202,0.63235,0.63186,0.63233,1357,0.87143,0.87231,0.87135,0.87220,985,1.21397,1.21411,1.21326,1.21345,3368,0.58382,0.58420,0.58371,0.58397,1528,1.05802,1.05858,1.05773,1.05854,2098,1.05802,1.05858,1.05773,1.05854,2098
2023.10.20,03:00:00,1.05854,1.05857,1.05728,1.05753,4791,0.63233,0.63235,0.63092,0.63135,2936,0.87219,0.87229,0.87201,0.87207,1283,1.21346,1.21369,1.21211,1.21248,5414,0.58397,0.58403,0.58272,0.58308,2328,1.05854,1.05857,1.05728,1.05753,4791,1.05854,1.05857,1.05728,1.05753,4791
2023.10.20,04:00:00,1.05753,1.05754,1.05676,1.05717,4572,0.63135,0.63164,0.63044,0.63132,3345,0.87207,0.87211,0.87159,0.87175,1225,1.21248,1.21273,1.21172,1.21251,5213,0.58309,0.58317,0.58201,0.58276,2767,1.05753,1.05754,1.05676,1.05717,4572,1.05753,1.05754,1.05676,1.05717,4572
2023.10.20,05:00:00,1.05717,1.05790,1.05699,1.05773,4230,0.63131,0.63233,0.63108,0.63219,2808,0.87174,0.87185,0.87110,0.87110,907,1.21251,1.21421,1.21235,1.21407,3750,0.58275,0.58384,0.58242,0.58377,2050,1.05717,1.05790,1.05699,1.05773,4230,1.05717,1.05790,1.05699,1.05773,4230
2023.10.20,06:00:00,1.05774,1.05793,1.05738,1.05753,2570,0.63219,0.63238,0.63166,0.63188,1690,0.87110,0.87138,0.87099,0.87121,903,1.21407,1.21437,1.21354,1.21369,3206,0.58375,0.58380,0.58298,0.58321,1407,1.05774,1.05793,1.05738,1.05753,2570,1.05774,1.05793,1.05738,1.05753,2570
2023.10.20,07:00:00,1.05753,1.05767,1.05724,1.05746,2224,0.63188,0.63188,0.63121,0.63142,1791,0.87120,0.87167,0.87119,0.87137,918,1.21369,1.21375,1.21303,1.21336,2310,0.58321,0.58321,0.58275,0.58294,1290,1.05753,1.05767,1.05724,1.05746,2224,1.05753,1.05767,1.05724,1.05746,2224
2023.10.20,08:00:00,1.05746,1.05781,1.05707,1.05731,3797,0.63141,0.63190,0.63099,0.63107,2002,0.87139,0.87192,0.87129,0.87178,1171,1.21336,1.21378,1.21226,1.21261,4331,0.58294,0.58340,0.58256,0.58256,1932,1.05746,1.05781,1.05707,1.05731,3797,1.05746,1.05781,1.05707,1.05731,3797
2023.10.20,09:00:00,1.05731,1.05754,1.05641,1.05734,7355,0.63107,0.63150,0.63035,0.63133,3236,0.87180,0.87355,0.87168,0.87306,2751,1.21261,1.21278,1.20924,1.21092,14544,0.58257,0.58297,0.58193,0.58288,3015,1.05731,1.05754,1.05641,1.05734,7355,1.05731,1.05754,1.05641,1.05734,7355
2023.10.20,10:00:00,1.05734,1.05760,1.05677,1.05698,5697,0.63133,0.63135,0.63005,0.63007,3806,0.87305,0.87331,0.87245,0.87321,2484,1.21093,1.21166,1.21024,1.21028,13603,0.58289,0.58292,0.58198,0.58199,2965,1.05734,1.05760,1.05677,1.05698,5697,1.05734,1.05760,1.05677,1.05698,5697
2023.10.20,11:00:00,1.05700,1.05946,1.05675,1.05871,6006,0.63007,0.63139,0.62965,0.63119,3481,0.87322,0.87394,0.87308,0.87318,2536,1.21028,1.21265,1.20960,1.21231,13083,0.58200,0.58345,0.58162,0.58319,2813,1.05700,1.05946,1.05675,1.05871,6006,1.05700,1.05946,1.05675,1.05871,6006
2023.10.20,12:00:00,1.05871,1.05926,1.05791,1.05892,4351,0.63119,0.63162,0.63068,0.63126,2493,0.87317,0.87367,0.87266,0.87319,2155,1.21231,1.21287,1.21127,1.21252,10090,0.58318,0.58355,0.58245,0.58309,2035,1.05871,1.05926,1.05791,1.05892,4351,1.05871,1.05926,1.05791,1.05892,4351
2023.10.20,13:00:00,1.05892,1.05920,1.05831,1.05846,3291,0.63127,0.63144,0.63081,0.63123,2066,0.87320,0.87345,0.87263,0.87304,1838,1.21253,1.21318,1.21181,1.21221,8343,0.58309,0.58319,0.58261,0.58277,1567,1.05892,1.05920,1.05831,1.05846,3291,1.05892,1.05920,1.05831,1.05846,3291
2023.10.20,14:00:00,1.05846,1.05983,1.05839,1.05904,6569,0.63122,0.63157,0.63098,0.63123,2246,0.87303,0.87310,0.87204,0.87223,2077,1.21221,1.21447,1.21211,1.21395,8668,0.58276,0.58307,0.58260,0.58280,1715,1.05846,1.05983,1.05839,1.05904,6569,1.05846,1.05983,1.05839,1.05904,6569
2023.10.20,15:00:00,1.05904,1.05917,1.05643,1.05832,13167,0.63123,0.63152,0.62986,0.63086,4048,0.87221,0.87228,0.87102,0.87163,2988,1.21395,1.21490,1.21195,1.21398,14324,0.58280,0.58319,0.58180,0.58227,3408,1.05904,1.05917,1.05643,1.05832,13167,1.05904,1.05917,1.05643,1.05832,13167
2023.10.20,16:00:00,1.05832,1.05942,1.05779,1.05783,15055,0.63085,0.63238,0.63080,0.63193,5482,0.87165,0.87195,0.87070,0.87094,3220,1.21398,1.21607,1.21366,1.21441,14655,0.58228,0.58357,0.58218,0.58317,4476,1.05832,1.05942,1.05779,1.05783,15055,1.05832,1.05942,1.05779,1.05783,15055
2023.10.20,17:00:00,1.05783,1.06004,1.05713,1.05868,14372,0.63193,0.63235,0.63096,0.63195,5539,0.87094,0.87205,0.87083,0.87143,3411,1.21440,1.21577,1.21308,1.21473,14939,0.58316,0.58354,0.58213,0.58267,4545,1.05783,1.06004,1.05713,1.05868,14372,1.05783,1.06004,1.05713,1.05868,14372
2023.10.20,18:00:00,1.05869,1.05956,1.05861,1.05903,9209,0.63195,0.63248,0.63115,0.63173,4075,0.87145,0.87171,0.87116,0.87154,2825,1.21473,1.21590,1.21451,1.21498,9477,0.58267,0.58331,0.58218,0.58271,3484,1.05869,1.05956,1.05861,1.05903,9209,1.05869,1.05956,1.05861,1.05903,9209
2023.10.20,19:00:00,1.05903,1.05904,1.05803,1.05884,9401,0.63174,0.63188,0.63087,0.63181,2885,0.87153,0.87196,0.87102,0.87112,2055,1.21497,1.21542,1.21343,1.21532,8115,0.58271,0.58317,0.58203,0.58299,2831,1.05903,1.05904,1.05803,1.05884,9401,1.05903,1.05904,1.05803,1.05884,9401
2023.10.20,20:00:00,1.05884,1.06028,1.05868,1.05949,10408,0.63182,0.63241,0.63153,0.63176,3665,0.87113,0.87126,0.87074,0.87111,2206,1.21532,1.21697,1.21524,1.21607,9797,0.58300,0.58350,0.58272,0.58294,3290,1.05884,1.06028,1.05868,1.05949,10408,1.05884,1.06028,1.05868,1.05949,10408
2023.10.20,21:00:00,1.05949,1.05958,1.05855,1.05916,7218,0.63177,0.63183,0.63100,0.63133,2448,0.87111,0.87133,0.87103,0.87116,2008,1.21607,1.21615,1.21484,1.21563,5397,0.58294,0.58299,0.58210,0.58225,2498,1.05949,1.05958,1.05855,1.05916,7218,1.05949,1.05958,1.05855,1.05916,7218
2023.10.20,22:00:00,1.05916,1.05938,1.05873,1.05914,5016,0.63133,0.63153,0.63085,0.63109,2789,0.87115,0.87133,0.87088,0.87089,1475,1.21563,1.21608,1.21520,1.21598,4903,0.58225,0.58240,0.58194,0.58215,2808,1.05916,1.05938,1.05873,1.05914,5016,1.05916,1.05938,1.05873,1.05914,5016
2023.10.20,23:00:00,1.05907,1.05944,1.05898,1.05935,2514,0.63101,0.63132,0.63086,0.63117,1003,0.87079,0.87105,0.87043,0.87079,912,1.21591,1.21653,1.21579,1.21621,3036,0.58208,0.58271,0.58204,0.58258,1479,1.05907,1.05944,1.05898,1.05935,2514,1.05907,1.05944,1.05898,1.05935,2514
2023.10.23,00:00:00,1.05935,1.05969,1.05922,1.05922,2209,0.63118,0.63200,0.63090,0.63151,982,0.87091,0.87109,0.87067,0.87097,593,1.21602,1.21608,1.21535,1.21584,475,0.58243,0.58296,0.58177,0.58293,678,1.05935,1.05969,1.05922,1.05922,2209,1.05935,1.05969,1.05922,1.05922,2209
2023.10.23,01:00:00,1.05942,1.05956,1.05872,1.05907,4279,0.63150,0.63203,0.63099,0.63164,1781,0.87102,0.87115,0.87059,0.87068,921,1.21583,1.21622,1.21546,1.21600,2960,0.58302,0.58303,0.58242,0.58275,1348,1.05942,1.05956,1.05872,1.05907,4279,1.05942,1.05956,1.05872,1.05907,4279
2023.10.23,02:00:00,1.05908,1.05929,1.05877,1.05887,1844,0.63171,0.63212,0.63165,0.63192,1059,0.87078,0.87084,0.87047,0.87056,823,1.21607,1.21659,1.21591,1.21621,4133,0.58282,0.58311,0.58265,0.58279,1187,1.05908,1.05929,1.05877,1.05887,1844,1.05908,1.05929,1.05877,1.05887,1844
2023.10.23,03:00:00,1.05887,1.05895,1.05833,1.05864,3913,0.63193,0.63210,0.63067,0.63111,1998,0.87058,0.87081,0.87026,0.87043,1149,1.21621,1.21634,1.21541,1.21615,3989,0.58273,0.58293,0.58204,0.58218,1993,1.05887,1.05895,1.05833,1.05864,3913,1.05887,1.05895,1.05833,1.05864,3913
2023.10.23,04:00:00,1.05863,1.05866,1.05808,1.05826,4616,0.63112,0.63164,0.63067,0.63146,2012,0.87043,0.87062,0.87018,0.87034,965,1.21615,1.21615,1.21553,1.21587,3287,0.58219,0.58294,0.58181,0.58279,1857,1.05863,1.05866,1.05808,1.05826,4616,1.05863,1.05866,1.05808,1.05826,4616
2023.10.23,05:00:00,1.05827,1.05827,1.05724,1.05729,3960,0.63145,0.63158,0.63070,0.63083,1806,0.87036,0.87049,0.87010,0.87015,880,1.21586,1.21595,1.21489,1.21494,2264,0.58278,0.58290,0.58193,0.58194,1295,1.05827,1.05827,1.05724,1.05729,3960,1.05827,1.05827,1.05724,1.05729,3960
2023.10.23,06:00:00,1.05729,1.05777,1.05728,1.05743,2556,0.63082,0.63147,0.63080,0.63107,1129,0.87014,0.87051,0.86991,0.87048,896,1.21493,1.21559,1.21472,1.21473,2255,0.58194,0.58246,0.58194,0.58214,1207,1.05729,1.05777,1.05728,1.05743,2556,1.05729,1.05777,1.05728,1.05743,2556
2023.10.23,07:00:00,1.05744,1.05763,1.05731,1.05754,3275,0.63107,0.63119,0.63077,0.63098,1089,0.87049,0.87080,0.87035,0.87040,1160,1.21472,1.21497,1.21434,1.21487,2135,0.58213,0.58230,0.58190,0.58210,1103,1.05744,1.05763,1.05731,1.05754,3275,1.05744,1.05763,1.05731,1.05754,3275
2023.10.23,08:00:00,1.05754,1.05786,1.05743,1.05765,3568,0.63098,0.63142,0.63095,0.63109,2559,0.87041,0.87064,0.87027,0.87049,1270,1.21487,1.21541,1.21471,1.21486,3854,0.58211,0.58265,0.58208,0.58247,1301,1.05754,1.05786,1.05743,1.05765,3568,1.05754,1.05786,1.05743,1.05765,3568
2023.10.23,09:00:00,1.05766,1.05857,1.05704,1.05818,5589,0.63109,0.63186,0.63070,0.63072,2062,0.87048,0.87060,0.86993,0.87029,1679,1.21486,1.21660,1.21448,1.21577,6807,0.58246,0.58329,0.58238,0.58257,1599,1.05766,1.05857,1.05704,1.05818,5589,1.05766,1.05857,1.05704,1.05818,5589
2023.10.23,10:00:00,1.05817,1.05970,1.05756,1.05967,6665,0.63069,0.63092,0.63011,0.63036,2938,0.87028,0.87085,0.86980,0.87080,2444,1.21576,1.21707,1.21470,1.21674,13166,0.58255,0.58268,0.58168,0.58190,2294,1.05817,1.05970,1.05756,1.05967,6665,1.05817,1.05970,1.05756,1.05967,6665
